,Project/Repository Group,BF,BF%,Bus/Elephant Factor Users,Oth. #,Oth. %,Top 10 %,Top Users,Rem. #,Rem. %,level
110,Notary,5,50.91,"patrickzheng200, yizha1, zr-msft, JeyJeyGao, priteshbandi",55,49.09,71.38,"patrickzheng200, yizha1, zr-msft, JeyJeyGao, priteshbandi, FeynmanZhou, vaninrao10, Two-Hearts, toddysm, byronchien",50,28.62,Incubating
111,OPA,10,51.72,"srenatus, charlieegan3, ashutosh-narkar, sozercan, anderseknert, acpana, philipaconrad, johanfylling, maxsmythe, JaydipGabani",217,48.28,51.72,"srenatus, charlieegan3, ashutosh-narkar, sozercan, anderseknert, acpana, philipaconrad, johanfylling, maxsmythe, JaydipGabani",217,48.28,Graduated
112,OPCR,2,54.17,"oanatmaria, ogazitt",3,45.83,100.0,"oanatmaria, ogazitt, carabasdaniel, apoland, gertd",0,0.0,Sandbox
113,Open Cluster Management,8,54.3,"qiujian16, mprahl, dhaiducek, xuezhaojun, zhujian7, mikeshng, skeeey, lennysgarage",65,45.7,63.56,"qiujian16, mprahl, dhaiducek, xuezhaojun, zhujian7, mikeshng, skeeey, lennysgarage, haoqing0110, JustinKuli",63,36.44,
114,OpenCost,7,50.47,"michaelmdresser, thomasvn, jessegoodier, bstuder99, mattray, srpomeroy, linhlam-kc",128,49.53,56.17,"michaelmdresser, thomasvn, jessegoodier, bstuder99, mattray, srpomeroy, linhlam-kc, ameijer, nik-kc, AjayTripathy",125,43.83,Sandbox
115,OpenEBS,3,50.64,"tiagolobocastro, niladrih, Abhinandan-Purkait",65,49.36,86.88,"tiagolobocastro, niladrih, Abhinandan-Purkait, sinhaashish, mtzaurus, dsavitskiy, abhilashshetty04, hrudaya21, dsharma-dc, anupriya0703",58,13.12,Sandbox
116,OpenELB,2,61.11,"renyunkang, chaunceyjiang",6,38.89,100.0,"renyunkang, chaunceyjiang, cherryFloris, alfajorcito, faweizhao26, lwabish, alecrajeev, ahmedwaleedmalik",0,0.0,Sandbox
117,OpenFeature,5,53.37,"toddbaert, skyerus, beeme1mr, Kavindu-Dodan, james-milligan",85,46.63,70.37,"toddbaert, skyerus, beeme1mr, Kavindu-Dodan, james-milligan, Arhell, tcarrio, agardnerIT, justinabrahms, odubajDT",80,29.63,Sandbox
118,OpenFGA,3,55.09,"miparnisari, adriantam, craigpastro",57,44.91,86.37,"miparnisari, adriantam, craigpastro, jon-whit, rhamzeh, aaguiarz, booniepepper, MidasLamb, jpadilla, PedroArvela",50,13.63,Sandbox
119,OpenFunction,3,57.22,"Arhell, benjaminhuo, wrongerror",24,42.78,85.56,"Arhell, benjaminhuo, wrongerror, wanjunlei, tpiperatgod, webup, faweizhao26, sachinparihar, oops-oom, niconical",17,14.44,Sandbox
120,OpenKruise,3,52.32,"zmberg, chrisliu1995, veophi",76,47.68,68.95,"zmberg, chrisliu1995, veophi, songkang7, diannaowa, FillZpp, Kuromesi, asa3311, MrSumeng, furykerry",69,31.05,Incubating
121,OpenMetrics,3,75.0,"SphinxKnight, beorn7, bogdandrutu",1,25.0,100.0,"SphinxKnight, beorn7, bogdandrutu, baloo",0,0.0,Incubating
122,Open Service Mesh,5,55.56,"jaellio, steeling, jsturtevant, shalier, mudit-01",17,44.44,81.25,"jaellio, steeling, jsturtevant, shalier, mudit-01, keithmattix, shashankram, nshankar13, SanyaKochhar, whitneygriffith",12,18.75,Archived
123,OpenTelemetry,39,50.02,"bogdandrutu, codeboten, dmitryax, trask, MrAlias, opentelemetrybot, jack-berg, atoulme, djaglowski, Kielek",1664,49.98,25.63,"bogdandrutu, codeboten, dmitryax, trask, MrAlias, opentelemetrybot, jack-berg, atoulme, djaglowski, Kielek",1693,74.37,Incubating
124,OpenYurt,7,50.78,"rambohe-ch, Congrool, fengshunli, huiwq1990, YTGhost, JameKeal, Arhell",59,49.22,62.0,"rambohe-ch, Congrool, fengshunli, huiwq1990, YTGhost, JameKeal, Arhell, Rudolf1998, xavier-hou, luc99hen",56,38.0,Sandbox
125,Operator Framework,9,50.73,"everettraven, joelanford, m1kola, awgreene, grokspawn, perdasilva, dtfranz, anik120, akihikokuroda",126,49.27,53.66,"everettraven, joelanford, m1kola, awgreene, grokspawn, perdasilva, dtfranz, anik120, akihikokuroda, ncdc",125,46.34,Incubating
126,ORAS,4,54.47,"qweeah, Wwwsylvia, wangxiaoxuan273, TerryHowe",72,45.53,75.77,"qweeah, Wwwsylvia, wangxiaoxuan273, TerryHowe, shizhMSFT, FeynmanZhou, deepeshaburse, asmitbm, sajayantony, lizMSFT",66,24.23,Sandbox
127,Paralus,3,65.71,"niravparikh05, akshay196, techmaharaj",19,34.29,88.57,"niravparikh05, akshay196, techmaharaj, mabhi, hiteshwani29, vivekhiwarkar, neogopher, nirav-rafay, meain, sandeep540",12,11.43,Sandbox
128,PARSEC,5,53.4,"gowthamsk-arm, Superhepper, ionut-arm, mohamedasaker-arm, marcsvll",25,46.6,75.73,"gowthamsk-arm, Superhepper, ionut-arm, mohamedasaker-arm, marcsvll, wiktor-k, baloo, arjennienhuis, jhagborgftx, tgonzalezorlandoarm",20,24.27,Sandbox
129,PipeCD,3,54.89,"khanhtc1202, knanao, kentakozuka",24,45.11,84.78,"khanhtc1202, knanao, kentakozuka, funera1, sivchari, nghialv, kurochan, kevin-namba, kevin55156, hungran",17,15.22,Sandbox
130,Piraeus-Datastore,1,63.38,WanzenBug,15,36.62,91.55,"WanzenBug, wangjiusi, kvaps, alexzhc, AleksZimin, dtrdnk, krmichelos, ahmedwaleedmalik, mcflis, gohmc",6,8.45,Sandbox
131,Pixie,3,51.47,"JamesMBartlett, vihangm, ddelnano",44,48.53,83.91,"JamesMBartlett, vihangm, ddelnano, aimichelle, htroisi, NickLanam, etep, zasgar, benkilimnik, MrSupiri",37,16.09,Sandbox
